|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tüketici Fiyat Endeksi (2025=100)|01. (Gıda Ve Alkolsüz İçecekler)|2023||||||||||||59.71|
||2024|62.81|67.99|70.3|72.26|73.48|74.79|76.16|75.32|77.19|80.53|84.64|85.73|
||2025|89.04|91.86|96.4|98.34|97.64|97.37|97.45|100.39|105.03|108.61|107.86|110.01|
||2026|117.26||||||||||||
|011. (Gıda)|2023||||||||||||59.79|
||2024|62.98|68.3|70.71|72.75|73.88|75.18|76.45|75.23|77.16|80.42|84.79|85.84|
||2025|89.13|92.07|96.76|98.77|97.84|97.47|97.33|100.14|104.79|108.41|107.6|109.7|
||2026|117.33||||||||||||
|0111. (Tahıllar Ve Tahıl Ürünleri)|2023||||||||||||57.43|
||2024|60.34|63.83|64.46|65.78|68.44|71.48|73.97|75.42|76.43|78.68|80.06|81.15|
||2025|87.48|91.95|92.11|94.38|95.61|96.96|98.36|103.84|106.74|109.87|110.62|112.09|
||2026|114.29||||||||||||
|01111. (Tahıllar)|2023||||||||||||67.2|
||2024|70.83|74.89|76.25|77.58|80.65|80.97|82.38|83.78|83.4|84.91|85.32|86.24|
||2025|88.01|91.68|92.02|93.55|98.15|98.79|100.62|102.57|103.01|108.64|110.35|112.62|
||2026|113.21||||||||||||
|01112. (Tahıl Unları)|2023||||||||||||66.59|
||2024|67.87|75.85|74.76|76.04|76.47|77.19|78.04|78.02|77.94|85.15|88.84|90.38|
||2025|90.04|90.49|89.76|93.64|94.12|95.19|96.65|107.44|108.13|110.0|112.0|112.53|
||2026|114.61||||||||||||
|01113. (Ekmek Ve Unlu Mamuller)|2023||||||||||||55.21|
||2024|58.25|61.08|61.79|63.22|66.17|69.71|72.54|74.18|75.54|77.36|78.48|79.52|
||2025|87.28|92.22|92.3|94.82|95.3|96.54|97.89|103.61|107.26|109.9|110.69|112.18|
||2026|114.45||||||||||||
|01114. (Kahvaltılık Tahıl Ürünleri)|2023||||||||||||53.01|
||2024|52.41|57.15|60.35|61.16|60.6|67.76|70.06|73.65|70.95|68.04|72.11|79.23|
||2025|83.58|82.44|91.28|90.98|96.66|109.25|98.75|104.59|107.27|107.88|111.44|115.88|
||2026|122.14||||||||||||
|01115. (Makarna, Erişte, Kuskus Ve Benzeri Makarna Ürünleri)|2023||||||||||||63.98|
||2024|66.85|72.93|73.2|72.89|74.1|76.11|77.16|77.61|77.39|81.35|84.37|84.75|
||2025|86.96|92.15|92.77|91.09|97.89|100.14|103.4|103.99|103.15|111.23|108.22|109.02|
||2026|113.21||||||||||||
|0112. (Canlı Hayvanlar, Kesilen Kara Hayvanlarının Etleri Ve Diğer Kısımları)|2023||||||||||||60.24|
||2024|64.06|69.51|79.27|85.3|87.31|85.22|84.71|82.59|83.71|83.04|84.56|85.76|
||2025|87.48|90.8|96.0|99.35|99.88|99.08|98.64|99.95|104.06|106.98|106.17|111.62|
||2026|120.66||||||||||||
|01122. (Et, Taze, Soğutulmuş Veya Dondurulmuş)|2023||||||||||||60.53|
||2024|64.23|69.78|80.08|86.94|88.22|85.83|85.2|82.58|83.77|83.05|84.73|85.89|
||2025|87.68|91.02|96.65|100.47|99.81|99.15|97.95|99.79|104.25|107.22|105.33|110.68|
||2026|120.36||||||||||||
|01123. (Et, Kurutulmuş, Tuzlanmış, Salamura Edilmiş Veya Tütsülenmiş)|2023||||||||||||58.42|
||2024|62.69|67.06|73.48|74.47|82.08|81.63|82.21|83.76|84.47|83.52|84.53|85.23|
||2025|86.26|90.02|92.06|91.23|101.47|98.57|102.78|100.27|102.46|105.67|112.34|116.87|
||2026|125.0||||||||||||
|01124. (Kesilmiş Hayvanların Sakatat Ve Diğer Parçaları (Taze, Soğutulmuş Veya Dondurulmuş, Kurutulmuş, Tuzlanmış, Salamura Edilmiş Veya Tütsülenmiş))|2023||||||||||||58.28|
||2024|67.07|72.73|77.19|79.83|79.77|78.98|79.16|77.15|77.69|82.8|86.43|89.36|
||2025|93.51|94.93|95.78|97.11|96.56|98.59|97.9|98.34|99.55|105.0|108.13|114.59|
||2026|119.0||||||||||||
|01125. (Kesilmiş Hayvanların Et, Sakatat Ve Diğer Parçalarından Yemeye Hazır Hale Getirilmiş Ürünler)|2023||||||||||||59.37|
||2024|62.8|68.76|77.0|78.08|82.98|83.29|82.57|82.34|83.04|81.92|79.61|82.62|
||2025|83.67|85.81|91.03|95.88|97.7|99.01|104.31|103.78|105.79|105.35|108.44|119.23|
||2026|122.33||||||||||||
|0113. (Balıklar Ve Diğer Su Ürünleri)|2023||||||||||||47.69|
||2024|55.64|61.19|60.79|58.91|57.7|58.33|59.42|61.44|72.23|76.34|77.62|83.56|
